ADD	18	12	1
ADDF	58	12	1
ADDR	90	2	2
AND	40	12	1
CLEAR	B4	2	1
COMP	28	12	1
COMPF	88	12	1
COMPR	A0	2	2
DIV	24	12	1
DIVF	64	12	1
DIVR	9C	2	2
FIX	C4	1	0
FLOAT	C0	1	0
HIO	F4	1	0
J	3C	12	1
JEQ	30	12	1
JGT	34	12	1
JLT	38	12	1
JSUB	48	12	1
LDA	00	12	1
LDB	68	12	1
LDCH	50	12	1
LDF	70	12	1
LDL	08	12	1
LDS	6C	12	1
LDT	74	12	1
LDX	04	12	1
LPS	D0	12	1
MUL	20	12	1
MULF	60	12	1
MULR	98	2	2
NORM	C8	1	0
OR	44	12	1
RD	D8	12	1
RMO	AC	2	2
RSUB	4C	12	0
SHIFTL	A4	2	2
SHIFTR	A8	2	2
SIO	F0	1	0
SSK	EC	12	1
STA	0C	12	1
STB	78	12	1
STCH	54	12	1
STF	80	12	1
STI	D4	12	1
STL	14	12	1
STS	7C	12	1
STSW	E8	12	1
STT	84	12	1
STX	10	12	1
SUB	1C	12	1
SUBF	5C	12	1
SUBR	94	2	2
SVC	B0	2	1
TD	E0	12	1
TIO	F8	1	0
TIX	2C	12	1
TIXR	B8	2	1
WD	DC	12	1
